district_code,district_name,v024
375,kendujhar,21
376,mayurbhanj,21
377,baleshwar,21
378,bhadrak,21
379,kendrapara,21
380,jagatsinghapur,21
381,cuttack,21
382,jajapur,21
383,dhenkanal,21
384,anugul,21
385,nayagarh,21
386,khordha,21
387,puri,21
388,ganjam,21
389,gajapati,21
390,kandhamal,21
391,baudh,21
392,subarnapur,21
393,balangir,21
394,nuapada,21
395,kalahandi,21
396,rayagada,21
397,nabarangapur,21
398,koraput,21
399,malkangiri,21
400,koriya,22
402,jashpur,22
403,raigarh,22
404,korba,22
405,janjgir - champa,22
407,kabeerdham,22
408,rajnandgaon,22
411,mahasamund,22
412,dhamtari,22
413,uttar bastar kanker,22
415,narayanpur,22
417,bijapur,22
418,sheopur,23
419,morena,23
420,bhind,23
421,gwalior,23
422,datia,23
423,shivpuri,23
424,tikamgarh,23
425,chhatarpur,23
426,panna,23
427,sagar,23
428,damoh,23
429,satna,23
430,rewa,23
431,umaria,23
432,neemuch,23
433,mandsaur,23
434,ratlam,23
435,ujjain,23
437,dewas,23
438,dhar,23
439,indore,23
440,khargone (west nimar),23
441,barwani,23
442,rajgarh,23
443,vidisha,23
444,bhopal,23
445,sehore,23
446,raisen,23
447,betul,23
448,harda,23
449,hoshangabad,23
450,katni,23
451,jabalpur,23
452,narsimhapur,23
453,dindori,23
454,mandla,23
455,chhindwara,23
456,seoni,23
457,balaghat,23
458,guna,23
459,ashoknagar,23
460,shahdol,23
461,anuppur,23
462,sidhi,23
463,singrauli,23
464,jhabua,23
465,alirajpur,23
466,khandwa (east nimar),23
467,burhanpur,23
468,kachchh,24
469,banas kantha,24
470,patan,24
471,mahesana,24
473,gandhinagar,24
478,porbandar,24
480,amreli,24
482,anand,24
485,dohad,24
487,narmada,24
488,bharuch,24
489,the dangs,24
490,navsari,24
491,valsad,24
492,surat,24
493,tapi,24
494,diu,25
495,daman,25
496,dadra & nagar haveli,25
497,nandurbar,27
498,dhule,27
499,jalgaon,27
500,buldana,27
501,akola,27
502,washim,27
503,amravati,27
504,wardha,27
505,nagpur,27
506,bhandara,27
507,gondiya,27
508,gadchiroli,27
509,chandrapur,27
510,yavatmal,27
511,nanded,27
512,hingoli,27
513,parbhani,27
514,jalna,27
515,aurangabad,27
516,nashik,27
518,mumbai suburban,27
519,mumbai,27
520,raigarh,27
521,pune,27
522,ahmadnagar,27
523,bid,27
524,latur,27
525,osmanabad,27
526,solapur,27
527,satara,27
528,ratnagiri,27
529,sindhudurg,27
530,kolhapur,27
531,sangli,27
542,srikakulam,28
543,vizianagaram,28
544,visakhapatnam,28
545,east godavari,28
546,west godavari,28
547,krishna,28
548,guntur,28
549,prakasam,28
550,sri potti sriramulu nellore,28
551,y.s.r.,28
552,kurnool,28
553,anantapur,28
554,chittoor,28
555,belgaum,29
556,bagalkot,29
557,bijapur,29
558,bidar,29
559,raichur,29
560,koppal,29
561,gadag,29
562,dharwad,29
563,uttara kannada,29
564,haveri,29
565,bellary,29
566,chitradurga,29
567,davanagere,29
568,shimoga,29
569,udupi,29
570,chikmagalur,29
571,tumkur,29
572,bangalore,29
573,mandya,29
574,hassan,29
575,dakshina kannada,29
576,kodagu,29
577,mysore,29
578,chamarajanagar,29
579,gulbarga,29
580,yadgir,29
581,kolar,29
582,chikkaballapura,29
583,bangalore rural,29
584,ramanagara,29
585,north goa,30
586,south goa,30
587,lakshadweep,31
588,kasaragod,32
589,kannur,32
590,wayanad,32
591,kozhikode,32
592,malappuram,32
593,palakkad,32
594,thrissur,32
595,ernakulam,32
596,idukki,32
597,kottayam,32
598,alappuzha,32
599,pathanamthitta,32
600,kollam,32
601,thiruvananthapuram,32
602,thiruvallur,33
603,chennai,33
604,kancheepuram,33
605,vellore,33
606,tiruvannamalai,33
607,viluppuram,33
608,salem,33
609,namakkal,33
610,erode,33
611,the nilgiris,33
612,dindigul,33
613,karur,33
614,tiruchirappalli,33
615,perambalur,33
616,ariyalur,33
617,cuddalore,33
618,nagapattinam,33
619,thiruvarur,33
620,thanjavur,33
621,pudukkottai,33
622,sivaganga,33
623,madurai,33
624,theni,33
625,virudhunagar,33
626,ramanathapuram,33
627,thoothukkudi,33
628,tirunelveli,33
629,kanniyakumari,33
630,dharmapuri,33
631,krishnagiri,33
632,coimbatore,33
633,tiruppur,33
634,yanam,34
635,puducherry,34
636,mahe,34
637,karaikal,34
638,nicobars,35
639,north  & middle andaman,35
640,south andaman,35
801,east siang,12
802,kra daadi,12
803,kurung kumey,12
804,lohit,12
805,longding,12
806,namsai,12
807,siang,12
808,tirap,12
809,west siang,12
810,biswanath,18
811,charaideo,18
812,dhubri,18
813,hojai,18
814,jorhat,18
815,karbi anglong,18
816,majuli,18
817,nagaon,18
818,sivasagar,18
819,sonitpur,18
820,south salmara mancachar,18
821,west karbi anglong,18
822,balod,22
823,baloda bazar,22
824,balrampur,22
825,bastar,22
826,bemetara,22
827,bilaspur,22
828,dantewada,22
829,durg,22
830,gariyaband,22
831,kodagaon,22
832,mungeli,22
833,raipur,22
834,sukma,22
835,surajpur,22
836,surguja,22
837,central,7
838,east,7
839,new delhi,7
840,north,7
841,north east,7
842,north west,7
843,shahdara,7
844,south,7
845,south east,7
846,south west,7
847,west,7
848,ahmadabad,24
849,aravali,24
850,bhavnagar,24
851,botad,24
852,chhota udaipur,24
853,devbhumi dwarka,24
854,gir somnath,24
855,jamnagar,24
856,junagadh,24
857,kheda,24
858,mahisagar,24
859,morbi,24
860,panch mahals,24
861,rajkot,24
862,sabar kantha,24
863,surendranagar,24
864,vadodara,24
865,bhiwani,6
866,charkhi dadri,6
867,agar malwa,23
868,shajapur,23
869,palghar,27
870,thane,27
871,east garo hills,17
872,east jantia hills,17
873,north garo hills,17
874,south west garo hills,17
875,south west khasi hills,17
876,west garo hills,17
877,west jaintia hills,17
878,west khasi hills,17
879,fazilka,3
880,firozpur,3
881,gurdaspur,3
882,pathankot,3
883,adilabad,36
884,bhadradri kothagudem,36
885,hyderabad,36
886,jagitial,36
887,jangoan,36
888,jayashankar bhupalapally,36
889,jogulamba gadwal,36
890,kamareddy,36
891,karimnagar,36
892,khammam,36
893,komaram bheem asifabad,36
894,mahabubabad,36
895,mahabubnagar,36
896,mancherial,36
897,medak,36
898,medchal-malkajgiri,36
899,nagarkurnool,36
900,nalgonda,36
901,nirmal,36
902,nizamabad,36
903,peddapalli,36
904,rajanna sircilla,36
905,ranga reddy,36
906,sangareddy,36
907,siddipet,36
908,suryapet,36
909,vikarabad,36
910,wanaparthy,36
911,warangal rural,36
912,warangal urban,36
913,yadadri bhuvanagiri,36
914,gomati,16
915,khowai,16
916,north tripura,16
917,sepahijala,16
918,south tripura,16
919,unakoti,16
920,west tripura,16
921,amethi,9
922,budaun,9
923,ghaziabad,9
924,hapur,9
925,moradabad,9
926,muzaffarnagar,9
927,rae bareli,9
928,sambhal,9
929,shamli,9
930,sultanpur,9
931,paschim barddhaman,19
932,purba barddhaman,19
